,Local,Magnitude,Tipo,Significancia,Profundidade,Latitude,Longitude,Timestamp,Year
69,"3 km ENE of P?hala, Hawaii",2.17,Terremoto,72,34.060001373291,19.2133331298828,-155.447326660156,2021-12-16 19:10:08.880,2021
70,"2 km SSE of Benton City, Washington",2.17,Explosão,72,-0.3,46.2446666666667,-119.474666666667,2021-12-16 19:34:38.120,2021
71,"119 km SW of Naze, Japan",4.2,Terremoto,271,69.54,27.7306,128.5065,2021-12-16 19:36:07.501,2021
72,"29 km SSW of Adak, Alaska",4.0,Terremoto,246,70.51,51.633,-176.8276,2021-12-16 19:48:27.808,2021
73,"50 km SE of Naalehu, Hawaii",2.02,Terremoto,63,4.5,18.7193333333333,-155.265833333333,2021-12-16 20:04:21.510,2021
74,"68 km S of Alcan Border, Alaska",2.4,Terremoto,89,10.3,62.0582,-141.148,2021-12-16 20:04:36.522,2021
75,"26 km NW of Stanley, Idaho",2.39,Terremoto,88,16.67,44.355,-115.2103333,2021-12-16 20:04:58.050,2021
76,"31 km NE of Falam, Myanmar",4.5,Terremoto,312,65.95,23.1346,93.8775,2021-12-16 20:13:20.741,2021
77,"17 km ESE of Minto, Alaska",2.1,Terremoto,68,21.3,65.074,-149.0294,2021-12-16 20:22:53.966,2021
78,"9 km ENE of P?hala, Hawaii",2.41,Terremoto,89,30.7999992370605,19.2346668243408,-155.398498535156,2021-12-16 20:23:43.660,2021
79,"8 km ENE of P?hala, Hawaii",2.37,Terremoto,86,31.2199993133545,19.2313327789307,-155.399002075195,2021-12-16 20:32:25.500,2021
80,Mid-Indian Ridge,5.1,Terremoto,400,10.0,-40.6075,78.3912,2021-12-16 20:40:29.540,2021
81,"51 km SE of Naalehu, Hawaii",2.11,Terremoto,68,1.96,18.7378333333333,-155.231,2021-12-16 20:42:13.040,2021
82,"43 km SE of Naalehu, Hawaii",3.1,Terremoto,148,9.62,18.8126666666667,-155.268833333333,2021-12-16 20:48:29.560,2021
83,South Sandwich Islands region,6.0,Terremoto,554,15.0,-60.1754,-23.8375,2021-12-16 21:14:46.611,2021
84,"219 km W of Quellón, Chile",4.6,Terremoto,326,10.0,-43.3594,-76.2935,2021-12-16 21:28:29.558,2021
85,"10 km SE of P?hala, Hawaii",2.17000008,Terremoto,72,31.9899997711182,19.1303329467773,-155.421493530273,2021-12-16 21:32:45.140,2021
86,"3 km SE of P?hala, Hawaii",2.24,Terremoto,77,37.8699989318848,19.1826667785645,-155.45849609375,2021-12-16 21:55:41.830,2021
87,"51 km S of Whites City, New Mexico",2.3,Terremoto,81,7.314135742,31.71539936,-104.2894407,2021-12-16 21:57:04.745,2021
88,"21 km S of Naalehu, Hawaii",2.02,Terremoto,63,37.4,18.8738333333333,-155.569166666667,2021-12-16 21:58:43.290,2021
89,"7 km ENE of P?hala, Hawaii",2.03999996,Terremoto,64,31.8400001525879,19.2390003204346,-155.414337158203,2021-12-16 22:05:19.860,2021
90,"8 km S of Princeton, Canada",2.05,Explosão,65,-0.37,49.3776666666667,-120.499333333333,2021-12-16 22:05:43.020,2021
91,"9km NW of Delta, B.C., MX",2.19,Terremoto,74,6.13,32.4216667,-115.2543333,2021-12-16 22:09:07.930,2021
92,Mid-Indian Ridge,5.0,Terremoto,385,10.0,-40.6575,78.1608,2021-12-16 22:20:05.672,2021
93,"87 km WNW of Kalaoa, Hawaii",3.6,Terremoto,200,1.04,19.9018333333333,-156.7945,2021-12-16 22:36:41.560,2021
94,"24km ENE of Thermal, CA",2.0,Terremoto,62,6.42,33.7515,-115.916,2021-12-16 22:36:59.270,2021
95,"Izu Islands, Japan region",4.5,Terremoto,312,10.0,31.2755,142.3019,2021-12-16 22:55:03.715,2021
96,"18 km NNE of Hermleigh, Texas",2.2,Terremoto,74,8.045613607,32.77496338,-100.6572742,2021-12-16 23:07:33.877,2021
97,Kermadec Islands region,4.9,Terremoto,369,10.0,-28.4573,-176.7743,2021-12-16 23:29:21.528,2021
98,"7 km E of P?hala, Hawaii",3.06,Terremoto,144,34.03,19.2098333333333,-155.407,2021-12-16 23:38:35.560,2021
99,"42 km ESE of Pedro Bay, Alaska",2.1,Terremoto,68,114.7,59.5879,-153.4537,2021-12-16 23:41:44.953,2021
100,"65 km SSW of Kaktovik, Alaska",2.2,Terremoto,74,4.8,69.5892,-144.273,2021-12-16 23:54:27.101,2021
101,south of Panama,5.1,Terremoto,400,10.0,4.8966,-82.5966,2021-12-17 00:12:53.089,2021
102,"6 km SW of Gypsum, Kansas",2.5,Terremoto,96,5.0,38.6723,-97.4877,2021-12-17 00:18:42.002,2021
103,"2 km ESE of P?hala, Hawaii",2.01999998,Terremoto,63,33.560001373291,19.1923332214355,-155.456161499023,2021-12-17 00:28:52.770,2021
104,"3 km NW of Three Forks, Montana",2.32,Terremoto,83,7.75,45.922,-111.5811667,2021-12-17 00:30:04.110,2021
105,"121 km NW of Taltal, Chile",4.3,Terremoto,284,10.0,-24.5088,-71.1826,2021-12-17 00:52:17.910,2021
106,"23km ENE of Thermal, CA",2.04,Terremoto,64,4.14,33.7476667,-115.9213333,2021-12-17 01:08:01.640,2021
107,"14 km SSW of Hanna, Oklahoma",2.05,Terremoto,65,6.56,35.07916667,-95.93883333,2021-12-17 01:26:11.880,2021
108,western Texas,2.2,Terremoto,74,6.285815430000001,31.66396565,-104.4311407,2021-12-17 01:31:55.318,2021
109,"151 km N of Las Khorey, Somalia",4.6,Terremoto,326,10.0,12.5247,48.3,2021-12-17 01:35:01.191,2021
110,western Xizang,4.5,Terremoto,312,10.0,34.3557,82.8305,2021-12-17 01:51:47.869,2021
111,"102 km SSE of Sand Point, Alaska",2.0,Terremoto,62,19.0,54.5298,-159.7187,2021-12-17 01:51:54.895,2021
112,"2 km NW of Guayanilla, Puerto Rico",2.88,Terremoto,128,15.0,18.0311,-66.8088,2021-12-17 02:03:09.570,2021
113,"6 km E of P?hala, Hawaii",2.0,Terremoto,62,33.5400009155273,19.195499420166,-155.414337158203,2021-12-17 02:05:26.560,2021
114,"3 km SW of Chignik Lagoon, Alaska",2.2,Terremoto,74,83.3,56.2816,-158.564,2021-12-17 02:10:20.354,2021
115,"3 km S of P?hala, Hawaii",2.30999994,Terremoto,82,34.8300018310547,19.1669998168945,-155.47900390625,2021-12-17 02:30:02.400,2021
116,"34 km SE of Mina, Nevada",2.1,Terremoto,68,4.5,38.1909,-117.8007,2021-12-17 02:32:25.291,2021
117,"162 km N of Las Khorey, Somalia",4.2,Terremoto,271,10.0,12.6192,48.052,2021-12-17 02:48:42.823,2021
118,"4 km SSE of P?hala, Hawaii",2.11999989,Terremoto,69,34.5299987792969,19.1668338775635,-155.459503173828,2021-12-17 02:51:42.200,2021
119,"82 km SSW of El Huitusi, Mexico",4.4,Terremoto,298,10.0,24.8256,-109.1071,2021-12-17 02:59:58.798,2021
120,"96 km SSE of Sand Point, Alaska",2.1,Terremoto,68,17.7,54.5747,-159.7756,2021-12-17 03:00:39.784,2021
121,"154 km ESE of Kokopo, Papua New Guinea",4.7,Terremoto,340,77.23,-4.9634,153.5147,2021-12-17 03:44:54.743,2021
122,"17 km ENE of P?hala, Hawaii",2.44,Terremoto,92,27.46,19.25,-155.315666666667,2021-12-17 03:48:00.190,2021
123,"4 km ENE of P?hala, Hawaii",2.34,Terremoto,84,32.810001373291,19.2119998931885,-155.433670043945,2021-12-17 04:04:59.300,2021
124,"44 km SE of Iquique, Chile",2.8,Terremoto,121,43.73,-20.4536,-69.8066,2021-12-17 04:37:45.031,2021
125,"8 km SSE of P?hala, Hawaii",2.07999992,Terremoto,67,32.439998626709,19.1406669616699,-155.437164306641,2021-12-17 04:39:52.350,2021
126,"4 km S of P?hala, Hawaii",2.36999989,Terremoto,86,32.4199981689453,19.1668338775635,-155.477493286133,2021-12-17 05:00:42.420,2021
127,"26 km NNW of Asan-Maina Village, Guam",4.4,Terremoto,298,144.95,13.7063,144.6683,2021-12-17 05:05:05.228,2021
128,"64 km ENE of Namie, Japan",4.3,Terremoto,284,66.85,37.7009,141.6721,2021-12-17 05:39:47.919,2021
129,"Rat Islands, Aleutian Islands, Alaska",2.2,Terremoto,74,10.7,52.1026,178.2872,2021-12-17 05:53:35.066,2021
130,"63 km N of Hatillo, Puerto Rico",3.63,Terremoto,203,31.0,19.0595,-66.7866,2021-12-17 05:58:23.810,2021
131,"5 km SSW of P?hala, Hawaii",2.68,Terremoto,110,37.08,19.1573333333333,-155.489,2021-12-17 06:12:03.370,2021
132,"Rat Islands, Aleutian Islands, Alaska",2.15,Terremoto,71,5.76,52.135,178.190166666667,2021-12-17 06:37:34.660,2021
133,"1 km W of Indios, Puerto Rico",2.65,Terremoto,108,16.0,17.9935,-66.8331,2021-12-17 06:40:30.510,2021
134,"Izu Islands, Japan region",4.2,Terremoto,271,10.0,31.0055,142.2823,2021-12-17 06:40:35.925,2021
135,"134 km WSW of Haveluloto, Tonga",4.4,Terremoto,298,212.21,-21.4616,-176.4647,2021-12-17 06:49:09.204,2021
136,"65 km NNW of Turpan, China",4.7,Terremoto,341,10.0,43.4707,88.8194,2021-12-17 06:54:37.485,2021
137,"268 km SSE of Latung, Philippines",4.1,Terremoto,259,603.96,3.3081,121.9301,2021-12-17 07:04:23.997,2021
138,"230 km SSW of Bengkulu, Indonesia",4.3,Terremoto,284,10.0,-5.7101,101.4362,2021-12-17 07:11:19.665,2021
139,,4.6,Terremoto,326,284.45,-16.2722,-174.9361,2021-12-17 07:34:57.811,2021
140,Western Montana,2.3,Terremoto,82,5.0,45.9428,-111.5675,2021-12-17 07:45:06.605,2021
141,"6 km NNW of Three Forks, Montana",3.1,Terremoto,156,2.74,45.9472,-111.5731,2021-12-17 07:53:15.380,2021
142,"12km WNW of Corcoran, CA",2.09,Terremoto,67,20.14,36.1413333,-119.6875,2021-12-17 08:03:53.990,2021
143,"4 km S of P?hala, Hawaii",2.16,Terremoto,72,32.4599990844727,19.158166885376,-155.472671508789,2021-12-17 08:07:28.870,2021
144,"Izu Islands, Japan region",4.3,Terremoto,284,10.0,31.527,142.3153,2021-12-17 08:19:27.614,2021
145,"6 km ENE of P?hala, Hawaii",2.1400001,Terremoto,70,32.3699989318848,19.2310009002686,-155.422668457031,2021-12-17 08:20:14.670,2021
146,"89 km SSE of False Pass, Alaska",2.1,Terremoto,68,5.1,54.1721,-162.669,2021-12-17 08:25:35.578,2021
147,"25 km NW of Valdez, Alaska",2.1,Terremoto,68,14.8,61.2644,-146.7332,2021-12-17 08:38:14.289,2021
148,"Izu Islands, Japan region",4.7,Terremoto,340,10.0,31.5001,142.3733,2021-12-17 08:40:01.040,2021
149,"26 km WNW of False Pass, Alaska",2.7,Terremoto,112,172.24,54.9856,-163.764,2021-12-17 08:47:52.131,2021
150,south of the Fiji Islands,4.0,Terremoto,246,480.93,-24.8624,-179.4637,2021-12-17 08:58:54.488,2021
151,"24 km NE of K?z?l?rmak, Turkey",4.1,Terremoto,259,10.0,40.5072,34.1769,2021-12-17 09:28:33.378,2021
152,"Fox Islands, Aleutian Islands, Alaska",3.4,Terremoto,178,35.0,53.4417,-165.1008,2021-12-17 09:45:04.461,2021
153,"45 km W of False Pass, Alaska",3.3,Terremoto,168,10.0,54.7942,-164.1171,2021-12-17 10:33:41.493,2021
154,"169 km SE of Atka, Alaska",3.1,Terremoto,148,10.0,51.3397,-172.1657,2021-12-17 10:36:30.264,2021
155,"52 km WNW of Happy Valley, Alaska",2.0,Terremoto,62,87.7,60.087,-152.6312,2021-12-17 10:44:17.714,2021
156,"Rat Islands, Aleutian Islands, Alaska",4.4,Terremoto,298,10.0,51.8923,178.0869,2021-12-17 10:53:49.015,2021
157,"50 km N of Isabela, Puerto Rico",3.3,Terremoto,168,5.0,18.9551,-67.1046,2021-12-17 10:59:06.380,2021
158,"11 km NNE of Hope, Alaska",3.5,Terremoto,266,28.3,61.0134,-149.5558,2021-12-17 11:01:46.530,2021
159,"2 km SSE of P?hala, Hawaii",2.23000002,Terremoto,77,35.0999984741211,19.1816673278809,-155.467163085938,2021-12-17 11:08:26.420,2021
160,"11 km ENE of P?hala, Hawaii",2.01999998,Terremoto,63,32.1399993896484,19.2483329772949,-155.383666992188,2021-12-17 11:18:04.280,2021
161,"25 km S of False Pass, Alaska",2.5,Terremoto,96,105.12,54.6213,-163.4159,2021-12-17 11:45:14.295,2021
162,"12 km ENE of Ganges, Canada",3.7,Terremoto,631,16.88,48.8934,-123.3477,2021-12-17 12:13:51.679,2021
163,"58km S of Estacion Coahuila, B.C., MX",3.2,Terremoto,158,5.84,31.6793333,-115.0685,2021-12-17 12:17:22.170,2021
164,"8 km E of Grace, Idaho",2.05,Terremoto,65,2.33,42.5663333,-111.6236667,2021-12-17 12:28:42.740,2021
165,"2 km SSW of P?hala, Hawaii",2.17000008,Terremoto,72,34.9000015258789,19.183500289917,-155.489837646484,2021-12-17 12:41:47.860,2021
166,"11km E of Borrego Springs, CA",2.53,Terremoto,98,5.35,33.2751667,-116.2573333,2021-12-17 13:08:38.740,2021
167,"8 km E of P?hala, Hawaii",2.24,Terremoto,77,31.6800003051758,19.2045001983643,-155.401992797852,2021-12-17 13:10:15.070,2021
168,"8 km E of P?hala, Hawaii",2.41,Terremoto,90,32.9799995422363,19.195499420166,-155.401992797852,2021-12-17 13:12:43.100,2021
169,"76 km NE of Savannah Bight, Honduras",4.9,Terremoto,371,10.0,16.9677,-85.3777,2021-12-17 13:58:34.168,2021
170,"7 km E of P?hala, Hawaii",3.46,Terremoto,185,34.59,19.2026666666667,-155.407666666667,2021-12-17 14:17:40.570,2021
171,"5 km SSW of Gypsum, Kansas",3.3,Terremoto,170,2.47,38.664,-97.456,2021-12-17 14:23:43.801,2021
172,"11 km SSW of Donsol, Philippines",4.9,Terremoto,373,10.0,12.8084,123.5688,2021-12-17 14:28:55.401,2021
173,"126 km S of Singkil, Indonesia",4.3,Terremoto,284,19.98,1.1637,97.5769,2021-12-17 14:38:38.781,2021
174,"1 km SSW of P?hala, Hawaii",2.13000011,Terremoto,70,32.6199989318848,19.1861667633057,-155.483169555664,2021-12-17 14:45:12.050,2021
175,"6 km E of P?hala, Hawaii",2.13000011,Terremoto,70,32.0400009155273,19.2108325958252,-155.414672851562,2021-12-17 14:51:30.780,2021
176,"9 km SSW of Macalaya, Philippines",4.6,Terremoto,326,10.0,12.815,123.736,2021-12-17 14:58:03.473,2021
177,"Island of Hawaii, Hawaii",2.13000011,Terremoto,70,33.189998626709,19.212833404541,-155.412002563477,2021-12-17 15:49:49.770,2021
178,"36 km SE of Naalehu, Hawaii",2.6,Terremoto,104,38.44,18.8429,-155.3259,2021-12-17 16:25:41.325,2021
179,"50 km SE of Naalehu, Hawaii",2.47,Terremoto,94,5.46,18.7218333333333,-155.260666666667,2021-12-17 17:04:07.130,2021
180,South Sandwich Islands region,4.7,Terremoto,340,79.04,-56.4891,-27.594,2021-12-17 17:16:11.791,2021
181,"1 km NNW of P?hala, Hawaii",2.03,Terremoto,63,33.6500015258789,19.2136669158936,-155.485336303711,2021-12-17 17:21:22.830,2021
182,"9 km ENE of P?hala, Hawaii",2.21,Terremoto,75,31.9300003051758,19.2376670837402,-155.397171020508,2021-12-17 17:25:07.100,2021
183,South Sandwich Islands region,4.5,Terremoto,312,49.82,-59.8292,-26.316,2021-12-17 17:43:41.956,2021
184,"19km NW of Petrolia, CA",2.34,Terremoto,84,18.17,40.439,-124.4505,2021-12-17 18:06:18.950,2021
185,"Island of Hawaii, Hawaii",3.48,Terremoto,187,32.59,19.2215,-155.418333333333,2021-12-17 18:27:10.910,2021
186,"3 km SSE of P?hala, Hawaii",3.09,Terremoto,147,34.14,19.1721666666667,-155.468833333333,2021-12-17 18:49:47.090,2021
187,"24km ENE of Thermal, CA",2.16,Terremoto,72,6.57,33.7525,-115.917,2021-12-17 18:59:35.610,2021
188,Chagos Archipelago region,4.8,Terremoto,354,10.0,-3.1462,68.2051,2021-12-17 19:15:15.758,2021
189,"8 km NW of Prague, Oklahoma",2.06,Terremoto,65,7.83,35.53433333,-96.759,2021-12-17 19:19:46.320,2021
190,southern Idaho,2.8,Terremoto,121,7.56,44.3929,-115.163,2021-12-17 19:33:21.580,2021
191,"125 km S of McCarthy, Alaska",2.1,Terremoto,68,2.9,60.3151,-143.2047,2021-12-17 19:46:19.253,2021
192,Kermadec Islands region,4.6,Terremoto,326,177.76,-28.7602,-178.1197,2021-12-17 19:48:11.373,2021
193,"12 km S of Point Possession, Alaska",2.6,Terremoto,104,40.6,60.8098,-150.7253,2021-12-17 19:50:08.151,2021
194,"6 km E of P?hala, Hawaii",2.01,Terremoto,62,33.2799987792969,19.2064990997314,-155.413330078125,2021-12-17 20:00:54.740,2021
195,"231 km E of Levuka, Fiji",5.7,Terremoto,500,575.13,-17.9852,-178.5023,2021-12-17 20:02:30.019,2021
196,"7 km NW of Stanley, Idaho",3.0,Terremoto,139,15.76,44.2578,-115.0184,2021-12-17 20:17:10.474,2021
197,Kansas,2.4,Terremoto,89,5.0,38.6627,-97.5046,2021-12-17 20:32:57.407,2021
198,south of the Fiji Islands,4.2,Terremoto,271,364.42,-26.1026,-178.5476,2021-12-17 20:46:52.585,2021
199,"10 km SSW of Colstrip, Montana",3.2,mining explosion,158,0.0,45.7956,-106.654,2021-12-17 21:24:18.671,2021
200,"192km S of Estacion Coahuila, B.C., MX",3.45,Terremoto,183,5.96,30.4775,-114.737,2021-12-17 21:29:29.340,2021
201,"35 km WSW of LeChee, Arizona",2.5,Terremoto,96,5.0,34.9425,-111.1237,2021-12-17 22:10:14.553,2021
202,"6 km ENE of P?hala, Hawaii",2.7,Terremoto,112,32.89,19.2168333333333,-155.416833333333,2021-12-17 22:20:22.760,2021
203,"99 km W of Akhiok, Alaska",2.2,Terremoto,74,8.7,56.8991,-155.7968,2021-12-17 22:42:17.578,2021
204,"2 km ESE of Maria Antonia, Puerto Rico",2.41,Terremoto,89,16.0,17.9703,-66.8676,2021-12-17 23:14:00.430,2021
205,"9 km ENE of Zakynthos, Greece",4.4,Terremoto,298,10.0,37.8054,20.9944,2021-12-17 23:28:02.195,2021
206,"8 km E of P?hala, Hawaii",2.19000006,Terremoto,74,32.7700004577637,19.2169990539551,-155.399337768555,2021-12-17 23:33:07.030,2021
207,"44 km SE of Khorugh, Tajikistan",4.1,Terremoto,259,174.34,37.2698,71.967,2021-12-17 23:39:44.191,2021
208,"3 km S of P?hala, Hawaii",3.08,Terremoto,146,34.29,19.1735,-155.472833333333,2021-12-17 23:54:38.310,2021
